,UID,Message,Username,Time,Timestamp,IST
0,108303573162692599068,hi (sent from Kopar),Sdd Hfx,02 Jul 03:08 AM,1530481131741,2018-07-02 03:08:51
1,114053299820890751499,hi. (sent from Kalyan Stn.),shazi kazi,02 Jul 03:24 AM,1530482098285,2018-07-02 03:24:58
2,101651734243472314975,hi,Digvijay Salunkhe,02 Jul 04:40 AM,1530486615352,2018-07-02 04:40:15
3,114528589459809998478,hi anybody from kasara,Sunil Kendre,02 Jul 04:44 AM,1530486845276,2018-07-02 04:44:05
4,106324083053110511194,"Hi, Kasara to CST train is running?",Sandip Wakchoure,02 Jul 05:20 AM,1530489001356,2018-07-02 05:20:01
5,107910351559953880967,mysore dadar tuning status (sent from Dadar Stn.),Lokesh Kadam,02 Jul 05:28 AM,1530489495962,2018-07-02 05:28:15
6,110246438395013266065,yes,Vivekanand Jha,02 Jul 05:40 AM,1530490216214,2018-07-02 05:40:16
7,106324083053110511194,Thanks,Sandip Wakchoure,02 Jul 05:42 AM,1530490335060,2018-07-02 05:42:15
8,101992906466069519545,where is khopoli csmt fast (sent from Dombivli Stn.),Shreyas Patwardhan,02 Jul 06:15 AM,1530492320317,2018-07-02 06:15:20
9,115270284704595169566,bandra terminus (sent from Bhayander),Anjali Prajapati,02 Jul 06:16 AM,1530492384417,2018-07-02 06:16:24
10,105312598801707642948,6:55 bhadhlapur fast vikroli  (sent from Vikhroli Stn.),ROHIT DEKHANE,02 Jul 06:30 AM,1530493254692,2018-07-02 06:30:54
11,105055236475602144795,"hi.. is 6.50 train from thane to csmt from.platform 3, a regular one ? (sent from Thane Stn.)",Nihu prabhudesai,02 Jul 06:35 AM,1530493517152,2018-07-02 06:35:17
12,107322895723715240800,cstm manmad rajyrani expresses delayed ,Lakesh Pawar,02 Jul 06:50 AM,1530494448164,2018-07-02 06:50:48
13,111735761878728446036,status of 7:04 fast local for csmt? (sent from Kalva),Jeetesh Rai,02 Jul 07:10 AM,1530495635274,2018-07-02 07:10:35
14,111334216600966526477,hii (sent from Lower Parel Stn.),Heman Shetty,02 Jul 07:16 AM,1530495960143,2018-07-02 07:16:00
15,111334216600966526477,hii (sent from Lower Parel Stn.),Heman Shetty,02 Jul 07:16 AM,1530496010673,2018-07-02 07:16:50
16,109184214127388685770,where is khoop ki to cstm train (sent from Badlapur Stn.),Suraj S,02 Jul 07:19 AM,1530496163161,2018-07-02 07:19:23
17,105497051127277101432,hi (sent from Ambernath),Rupesh Patil,02 Jul 07:21 AM,1530496300829,2018-07-02 07:21:40
18,110463589824307199977,"@@shikkuumar contact CSMT RAILWAY OFFICE IMMIDIETE,  (sent from Kalva)",Siddharth Sawant,02 Jul 07:21 AM,1530496303173,2018-07-02 07:21:43
19,112296826774051105743,trains update ky h,Lavesh Ballal,02 Jul 07:22 AM,1530496376758,2018-07-02 07:22:56
20,105497051127277101432,hi (sent from Ambernath),Rupesh Patil,02 Jul 07:23 AM,1530496418584,2018-07-02 07:23:38
21,115699780752411963381,trains properly working  (sent from Dombivli),Kaushal Pevekar,02 Jul 07:23 AM,1530496435254,2018-07-02 07:23:55
22,105497051127277101432,ok (sent from Ambernath),Rupesh Patil,02 Jul 07:24 AM,1530496459581,2018-07-02 07:24:19
23,115699780752411963381,....???? (sent from Dombivli),Kaushal Pevekar,02 Jul 07:24 AM,1530496460879,2018-07-02 07:24:20
24,112296826774051105743,ok,Lavesh Ballal,02 Jul 07:24 AM,1530496466143,2018-07-02 07:24:26
25,109384688986665102861,Karjat 7:30 on time or not (sent from Airoli Stn.),manoj madhavi,02 Jul 07:24 AM,1530496466524,2018-07-02 07:24:26
26,101455931594854152543,ट्रेन चालू हे क्या (sent from Vikhroli),Vivek Rana,02 Jul 07:24 AM,1530496470106,2018-07-02 07:24:30
27,101903733458246621714,due to critical accident in central  line train are late (sent from Santa Cruz),Iŋterŋatııoŋal Shaııta'ŋ,02 Jul 07:26 AM,1530496589259,2018-07-02 07:26:29
28,109905504093040200075,Kalyan to dadar  (sent from Dombivli),Narottam Thakker,02 Jul 07:26 AM,1530496599215,2018-07-02 07:26:39
29,114944718536083024024,exp,Taufeek Khan,02 Jul 07:26 AM,1530496613404,2018-07-02 07:26:53
30,103064294121430909485,"hii, karjat-cst fast local is on Bhivpuri Road station (sent from Bhivpuriroad Stn.)",Roshani Pol,02 Jul 07:26 AM,1530496614417,2018-07-02 07:26:54
31,113878202217081983187,hi (sent from Ambernath),YOGE BEAR,02 Jul 07:27 AM,1530496625509,2018-07-02 07:27:05
32,111144942487450949477,what accident and where ? (sent from Thakurli),Dombivli User,02 Jul 07:28 AM,1530496713107,2018-07-02 07:28:33
33,111122692356600105696,hi,Pankaj Bauskar,02 Jul 07:29 AM,1530496743962,2018-07-02 07:29:03
34,110096783169550825740,train r late from ulhasnagar (sent from Thane Stn.),Ridhi Kewalya,02 Jul 07:29 AM,1530496751130,2018-07-02 07:29:11
35,101903733458246621714,ambernath (sent from Santa Cruz),Iŋterŋatııoŋal Shaııta'ŋ,02 Jul 07:29 AM,1530496751488,2018-07-02 07:29:11
36,111144942487450949477,what happened ..? (sent from Thakurli),Dombivli User,02 Jul 07:29 AM,1530496777594,2018-07-02 07:29:37
37,100049661130479126835,cstm to Kasara status please  (sent from Kalyan),Aliasgar Gulmaliwala,02 Jul 07:29 AM,1530496785263,2018-07-02 07:29:45
38,107778301860104523879,panchwati express chalu ahe ka,Deepak Khatale,02 Jul 07:30 AM,1530496800035,2018-07-02 07:30:00
39,105725776187941601007,what happend???? (sent from Mumbra),mangesh bawlekar,02 Jul 07:30 AM,1530496833795,2018-07-02 07:30:33
